Month,Price
3/1/2015,17.45
4/1/2015,16.93
5/1/2015,15.86
6/1/2015,13.79
7/1/2015,12.26
8/1/2015,10.39
9/1/2015,8.77
10/1/2015,8.71
11/1/2015,9.63
12/1/2015,9.89
1/1/2016,10.47
2/1/2016,10.8
3/1/2016,10.67
4/1/2016,10.53
5/1/2016,10.47
6/1/2016,10.47
7/1/2016,10.47
8/1/2016,10.84
9/1/2016,11.88
10/1/2016,12.29
11/1/2016,12.49
12/1/2016,13.2
1/1/2017,13.41
2/1/2017,13.64
3/1/2017,13.78
4/1/2017,13.78
5/1/2017,14.29
6/1/2017,14.86
7/1/2017,14.73
8/1/2017,12.84
9/1/2017,12.13
10/1/2017,11.95
11/1/2017,12.17
12/1/2017,12.24
1/1/2018,12.36
2/1/2018,12.73
3/1/2018,12.79
4/1/2018,12.83
5/1/2018,12.9
6/1/2018,12.54
7/1/2018,12.24
8/1/2018,12.02
9/1/2018,11.53
10/1/2018,11.46
11/1/2018,11.66
12/1/2018,11.79
1/1/2019,11.79
2/1/2019,11.79
3/1/2019,11.79
4/1/2019,11.79
5/1/2019,11.79
6/1/2019,11.97
7/1/2019,12.95
8/1/2019,13.06
9/1/2019,13.23
10/1/2019,13.4
11/1/2019,13.68
12/1/2019,13.95
1/1/2020,14
2/1/2020,14
3/1/2020,14
4/1/2020,13.89
5/1/2020,12.55
6/1/2020,12.13
7/1/2020,12.52
8/1/2020,12.57
9/1/2020,11.86
10/1/2020,11.35
11/1/2020,11.53
12/1/2020,11.68
1/1/2021,11.75
